"","driverId","constructorId","grid","position","laps","milliseconds","rank","fastestLapSpeed"
"14149",252,58,14,"\N",46,"\N","\N","\N"
"14150",230,37,8,"\N",38,"\N","\N","\N"
"14151",233,37,18,"\N",37,"\N","\N","\N"
"14152",200,1,12,"\N",35,"\N","\N","\N"
"14153",187,67,4,"\N",33,"\N","\N","\N"
"14154",273,25,21,"\N",27,"\N","\N","\N"
"14155",232,59,19,"\N",23,"\N","\N","\N"
"14156",224,56,23,"\N",9,"\N","\N","\N"
"14157",250,204,6,"\N",7,"\N","\N","\N"
"14158",182,6,3,"\N",2,"\N","\N","\N"
"14159",256,204,17,"\N",1,"\N","\N","\N"
"14160",238,37,9,"\N",0,"\N","\N","\N"
"14161",245,74,0,"\N",0,"\N","\N","\N"
"14162",224,1,5,"1",53,"5966290","\N","\N"
"14163",231,64,6,"2",53,"5972200","\N","\N"
"14164",199,34,3,"3",53,"5983350","\N","\N"
"14165",223,6,7,"4",53,"6002080","\N","\N"
"14166",221,25,8,"5",53,"6020540","\N","\N"
"14167",182,6,4,"6",53,"6045940","\N","\N"
"14168",288,67,16,"7",52,"\N","\N","\N"
"14169",235,32,18,"8",52,"\N","\N","\N"
"14170",230,37,12,"9",52,"\N","\N","\N"
"14171",289,26,21,"10",52,"\N","\N","\N"
"14172",222,25,9,"11",52,"\N","\N","\N"
"14173",252,202,14,"12",51,"\N","\N","\N"
"14174",243,26,19,"13",51,"\N","\N","\N"
"14175",200,1,13,"14",50,"\N","\N","\N"
"14176",250,34,2,"\N",46,"\N","\N","\N"
"14177",232,3,20,"\N",44,"\N","\N","\N"
"14178",207,73,10,"\N",27,"\N","\N","\N"
"14179",283,66,22,"\N",24,"\N","\N","\N"
"14180",238,32,11,"\N",15,"\N","\N","\N"
"14181",172,3,17,"\N",15,"\N","\N","\N"
"14182",290,56,23,"\N",12,"\N","\N","\N"
"14183",187,63,15,"\N",6,"\N","\N","\N"
"14184",197,202,1,"\N",0,"\N","\N","\N"
"14185",250,34,6,"1",40,"6281170","\N","\N"
"14186",224,1,2,"2",40,"6286960","\N","\N"
"14187",200,1,10,"3",40,"6307830","\N","\N"
"14188",223,6,5,"4",40,"6324450","\N","\N"
"14189",182,6,4,"5",40,"6343050","\N","\N"
"14190",231,64,7,"6",40,"6346290","\N","\N"
"14191",207,73,18,"7",40,"6347980","\N","\N"
"14192",199,34,3,"8",40,"6380790","\N","\N"
"14193",235,32,12,"9",40,"6393010","\N","\N"
"14194",187,63,13,"10",40,"6430770","\N","\N"
"14195",172,3,11,"11",39,"\N","\N","\N"
"14196",289,26,20,"12",39,"\N","\N","\N"
"14197",290,56,21,"13",39,"\N","\N","\N"
"14198",243,26,23,"14",39,"\N","\N","\N"
"14199",238,32,16,"15",38,"\N","\N","\N"
"14200",197,202,1,"\N",32,"\N","\N","\N"
"14201",221,25,9,"\N",31,"\N","\N","\N"
"14202",252,202,14,"\N",31,"\N","\N","\N"
"14203",232,3,11,"\N",24,"\N","\N","\N"
"14204",288,67,15,"\N",22,"\N","\N","\N"
"14205",283,66,22,"\N",22,"\N","\N","\N"
"14206",222,25,8,"\N",18,"\N","\N","\N"
"14207",230,37,17,"\N",1,"\N","\N","\N"
"14208",222,25,3,"1",78,"6196900","\N","\N"
"14209",199,34,2,"2",78,"6200640","\N","\N"
"14210",221,25,5,"3",78,"6213820","\N","\N"
"14211",250,34,1,"4",78,"6214210","\N","\N"
"14212",182,6,4,"5",78,"6225540","\N","\N"
"14213",200,1,16,"6",78,"6260540","\N","\N"
"14214",243,75,14,"7",78,"6269810","\N","\N"
"14215",288,67,18,"8",77,"\N","\N","\N"
"14216",252,202,19,"9",77,"\N","\N","\N"
"14217",238,32,8,"10",77,"\N","\N","\N"
"14218",291,32,25,"11",76,"\N","\N","\N"
"14219",235,32,21,"12",76,"\N","\N","\N"
