"","driverId","constructorId","grid","position","laps","milliseconds","rank","maxSpeed"
"23165",807,10,8,7,67,5514249,12,205.686
"23181",3,131,1,1,44,6291058,2,225.64
"23182",817,9,5,2,44,6305171,4,224.205
"23183",1,131,21,3,44,6318692,1,225.969
"23184",807,10,7,4,44,6326965,10,222.094
"23185",815,10,6,5,44,6331718,8,222.321
"23186",20,6,4,6,44,6336452,5,223.674
"23187",4,1,22,7,44,6350503,15,220.243
"23188",822,3,8,8,44,6351209,12,220.946
"23189",8,6,3,9,44,6352167,9,222.157
"23190",13,3,10,10,44,6356931,14,220.517
"23191",830,9,2,11,44,6362196,7,222.582
"23192",821,210,18,12,44,6364935,13,220.53
"23193",154,210,11,13,44,6367532,11,221.561
"23194",826,5,19,14,44,6378155,3,224.965
"23195",835,4,13,15,44,6384223,6,222.641
"23203",3,131,2,1,53,4648089,9,240.82
"23204",1,131,1,2,53,4663159,4,241.646
"23205",20,6,3,3,53,4669079,5,241.626
"23206",8,6,4,4,53,4675650,3,242.452
"23207",817,9,6,5,53,4693384,2,242.726
"23208",822,3,5,6,53,4699104,10,240.517
"23209",830,9,7,7,53,4702325,8,241.361
"23210",815,10,8,8,53,4713043,12,239.93
"23211",13,3,11,9,53,4713706,7,241.375
"23212",807,10,9,10,53,4726745,13,239.837
"23225",3,131,1,1,61,6948950,6,165.318
"23226",817,9,2,2,61,6949438,1,170.113
"23227",1,131,3,3,61,6956988,3,169.221
"23228",8,6,5,4,61,6959169,4,168.515
"23229",20,6,22,5,61,6976644,2,169.863
"23230",830,9,4,6,61,7020147,5,167.207
"23231",4,1,9,7,61,7038148,12,163.902
"23232",815,10,17,8,61,7060012,15,163.508
"23233",826,5,7,9,61,7060507,9,164.353
"23234",825,4,15,10,61,7068902,8,164.48
"23247",817,9,4,1,56,5832776,3,204.771
"23248",830,9,3,2,56,5835219,2,204.925
"23249",3,131,2,3,56,5858292,1,206.948
"23250",8,6,6,4,56,5861561,4,204.736
"23251",822,3,11,5,56,5894358,9,201.159
"23252",815,10,7,6,56,5896570,11,200.898
"23253",4,1,22,7,56,5897981,6,203.017
"23254",807,10,8,8,56,5906838,5,204.051
"23255",18,1,9,9,56,5914592,8,202.094
"23256",835,4,19,10,56,5928242,12,200.853
"23257",832,5,16,11,56,5931654,10,201.07
"23269",3,131,1,1,53,5203333,5,217.651
"23270",830,9,3,2,53,5208311,6,216.89
"23271",1,131,2,3,53,5209109,2,219.703
"23272",20,6,6,4,53,5223602,1,219.781
"23273",8,6,8,5,53,5231703,4,217.785
"23274",817,9,4,6,53,5237274,3,218.877
"23275",815,10,5,7,53,5260828,7,216.061
"23276",807,10,9,8,53,5262510,10,214.74
"23277",13,3,12,9,53,5301096,14,213.787
